Area,Season,Year,Months,Standard Deviation,Outlier Type
Canada,Spring,1987,March,1.875,High
Czechoslovakia,Winter,1987,February,3.13,High
Czechoslovakia,Spring,1987,March,2.322,High
Denmark,Winter,1987,February,2.55,High
Denmark,Spring,1987,March,2.01,High
Finland,Winter,1987,January,3.335,High
Finland,Winter,1987,February,3.566,High
Finland,Spring,1987,March,2.892,High
Finland,Summer,1987,June,1.583,High
Finland,Summer,1987,July,1.38,High
Finland,Fall,1987,October,1.915,High
Finland,Fall,1987,November,2.28,High
Finland,Winter,1987,December,3.499,High
Germany,Winter,1987,February,2.957,High
Germany,Spring,1987,March,2.037,High
Greenland,Spring,1987,March,2.021,High
Hungary,Winter,1987,February,3.171,High
Hungary,Spring,1987,March,2.223,High
Iceland,Spring,1987,March,2.196,High
Liechtenstein,Winter,1987,February,2.814,High
Liechtenstein,Spring,1987,March,1.959,High
Mongolia,Winter,1987,February,3.021,High
Mongolia,Spring,1987,March,1.962,High
Mongolia,Fall,1987,November,2.235,High
Mongolia,Winter,1987,December,2.926,High
Netherlands,Winter,1987,February,2.75,High
Norway,Spring,1987,March,2.1,High
Norway,Summer,1987,June,1.468,High
Paraguay,Summer,1987,June,1.592,High
Paraguay,Summer,1987,July,2.058,High
Paraguay,Summer,1987,August,1.58,High
Poland,Winter,1987,January,2.587,High
Poland,Winter,1987,February,3.375,High
Poland,Spring,1987,March,2.815,High
Poland,Summer,1987,July,1.336,High
Romania,Winter,1987,February,3.065,High
Romania,Spring,1987,March,2.027,High
Romania,Fall,1987,November,1.88,High
South Georgia and the South Sandwich Islands,Summer,1987,August,1.56,High
Svalbard and Jan Mayen Islands,Winter,1987,January,4.373,High
Svalbard and Jan Mayen Islands,Winter,1987,February,3.639,High
Svalbard and Jan Mayen Islands,Spring,1987,March,3.906,High
Svalbard and Jan Mayen Islands,Spring,1987,April,2.492,High
Svalbard and Jan Mayen Islands,Fall,1987,October,2.636,High
Svalbard and Jan Mayen Islands,Fall,1987,November,3.946,High
Svalbard and Jan Mayen Islands,Winter,1987,December,4.189,High
Sweden,Winter,1987,January,2.681,High
Sweden,Winter,1987,February,3.178,High
Sweden,Spring,1987,March,2.462,High
Sweden,Summer,1987,June,1.359,High
Sweden,Fall,1987,November,1.927,High
Sweden,Winter,1987,December,2.699,High
Switzerland,Winter,1987,February,2.724,High
Switzerland,Spring,1987,March,1.836,High
Uruguay,Summer,1987,June,1.463,High
Uruguay,Summer,1987,July,1.606,High
Yugoslav SFR,Winter,1987,February,2.753,High
Northern Europe,Winter,1987,February,2.643,High
Northern Europe,Spring,1987,March,1.93,High
Afghanistan,Winter,1988,February,2.597,High
Antarctica,Spring,1988,April,1.868,High
Antarctica,Summer,1988,June,1.929,High
Antarctica,Summer,1988,July,1.801,High
Antarctica,Summer,1988,August,2.216,High
Antarctica,Fall,1988,September,2.058,High
Argentina,Summer,1988,July,1.424,High
Austria,Winter,1988,February,2.924,High
Austria,Spring,1988,March,2.054,High
Belgium-Luxembourg,Winter,1988,February,2.905,High
Belgium-Luxembourg,Spring,1988,March,1.844,High
Belgium-Luxembourg,Summer,1988,July,1.397,High
Bulgaria,Winter,1988,February,2.776,High
Bulgaria,Summer,1988,August,1.343,High
Canada,Spring,1988,March,1.875,High
Czechoslovakia,Winter,1988,February,3.13,High
Czechoslovakia,Spring,1988,March,2.322,High
Denmark,Winter,1988,February,2.55,High
Denmark,Spring,1988,March,2.01,High
Finland,Winter,1988,January,3.335,High
Finland,Winter,1988,February,3.566,High
Finland,Spring,1988,March,2.892,High
Finland,Summer,1988,June,1.583,High
Finland,Summer,1988,July,1.38,High
Finland,Fall,1988,October,1.915,High
Finland,Fall,1988,November,2.28,High
Finland,Winter,1988,December,3.499,High
Germany,Winter,1988,February,2.957,High
Germany,Spring,1988,March,2.037,High
Greenland,Spring,1988,March,2.021,High
Hungary,Winter,1988,February,3.171,High
Hungary,Spring,1988,March,2.223,High
Iceland,Spring,1988,March,2.196,High
Liechtenstein,Winter,1988,February,2.814,High
Liechtenstein,Spring,1988,March,1.959,High
Mongolia,Winter,1988,February,3.021,High
Mongolia,Spring,1988,March,1.962,High
Mongolia,Fall,1988,November,2.235,High
Mongolia,Winter,1988,December,2.926,High
Netherlands,Winter,1988,February,2.75,High
Norway,Spring,1988,March,2.1,High
Norway,Summer,1988,June,1.468,High
Paraguay,Summer,1988,June,1.592,High
Paraguay,Summer,1988,July,2.058,High
Paraguay,Summer,1988,August,1.58,High
Poland,Winter,1988,January,2.587,High
Poland,Winter,1988,February,3.375,High
Poland,Spring,1988,March,2.815,High
Poland,Summer,1988,July,1.336,High
Romania,Winter,1988,February,3.065,High
Romania,Spring,1988,March,2.027,High
Romania,Fall,1988,November,1.88,High
South Georgia and the South Sandwich Islands,Summer,1988,August,1.56,High
Svalbard and Jan Mayen Islands,Winter,1988,January,4.373,High
Svalbard and Jan Mayen Islands,Winter,1988,February,3.639,High
Svalbard and Jan Mayen Islands,Spring,1988,March,3.906,High
Svalbard and Jan Mayen Islands,Spring,1988,April,2.492,High
Svalbard and Jan Mayen Islands,Fall,1988,October,2.636,High
Svalbard and Jan Mayen Islands,Fall,1988,November,3.946,High
Svalbard and Jan Mayen Islands,Winter,1988,December,4.189,High
Sweden,Winter,1988,January,2.681,High
Sweden,Winter,1988,February,3.178,High
Sweden,Spring,1988,March,2.462,High
Sweden,Summer,1988,June,1.359,High
Sweden,Fall,1988,November,1.927,High
Sweden,Winter,1988,December,2.699,High
Switzerland,Winter,1988,February,2.724,High
Switzerland,Spring,1988,March,1.836,High
Uruguay,Summer,1988,June,1.463,High
Uruguay,Summer,1988,July,1.606,High
Yugoslav SFR,Winter,1988,February,2.753,High
Northern Europe,Winter,1988,February,2.643,High
Northern Europe,Spring,1988,March,1.93,High
Afghanistan,Winter,1989,February,2.597,High
Antarctica,Spring,1989,April,1.868,High
Antarctica,Summer,1989,June,1.929,High
Antarctica,Summer,1989,July,1.801,High
Antarctica,Summer,1989,August,2.216,High
Antarctica,Fall,1989,September,2.058,High
Argentina,Summer,1989,July,1.424,High
Austria,Winter,1989,February,2.924,High
Austria,Spring,1989,March,2.054,High
Belgium-Luxembourg,Winter,1989,February,2.905,High
Belgium-Luxembourg,Spring,1989,March,1.844,High
Belgium-Luxembourg,Summer,1989,July,1.397,High
Bulgaria,Winter,1989,February,2.776,High
Bulgaria,Summer,1989,August,1.343,High
Canada,Spring,1989,March,1.875,High
Czechoslovakia,Winter,1989,February,3.13,High
Czechoslovakia,Spring,1989,March,2.322,High
Denmark,Winter,1989,February,2.55,High
Denmark,Spring,1989,March,2.01,High
Finland,Winter,1989,January,3.335,High
Finland,Winter,1989,February,3.566,High
Finland,Spring,1989,March,2.892,High
Finland,Summer,1989,June,1.583,High
Finland,Summer,1989,July,1.38,High
Finland,Fall,1989,October,1.915,High
Finland,Fall,1989,November,2.28,High
Finland,Winter,1989,December,3.499,High
Germany,Winter,1989,February,2.957,High
Germany,Spring,1989,March,2.037,High
Greenland,Spring,1989,March,2.021,High
Hungary,Winter,1989,February,3.171,High
Hungary,Spring,1989,March,2.223,High
Iceland,Spring,1989,March,2.196,High
Liechtenstein,Winter,1989,February,2.814,High
Liechtenstein,Spring,1989,March,1.959,High
Mongolia,Winter,1989,February,3.021,High
Mongolia,Spring,1989,March,1.962,High
Mongolia,Fall,1989,November,2.235,High
Mongolia,Winter,1989,December,2.926,High
Netherlands,Winter,1989,February,2.75,High
Norway,Spring,1989,March,2.1,High
Norway,Summer,1989,June,1.468,High
Paraguay,Summer,1989,June,1.592,High
Paraguay,Summer,1989,July,2.058,High
Paraguay,Summer,1989,August,1.58,High
Poland,Winter,1989,January,2.587,High
Poland,Winter,1989,February,3.375,High
Poland,Spring,1989,March,2.815,High
Poland,Summer,1989,July,1.336,High
Romania,Winter,1989,February,3.065,High
Romania,Spring,1989,March,2.027,High
Romania,Fall,1989,November,1.88,High
South Georgia and the South Sandwich Islands,Summer,1989,August,1.56,High
Svalbard and Jan Mayen Islands,Winter,1989,January,4.373,High
Svalbard and Jan Mayen Islands,Winter,1989,February,3.639,High
Svalbard and Jan Mayen Islands,Spring,1989,March,3.906,High
Svalbard and Jan Mayen Islands,Spring,1989,April,2.492,High
Svalbard and Jan Mayen Islands,Fall,1989,October,2.636,High
Svalbard and Jan Mayen Islands,Fall,1989,November,3.946,High
Svalbard and Jan Mayen Islands,Winter,1989,December,4.189,High
Sweden,Winter,1989,January,2.681,High
Sweden,Winter,1989,February,3.178,High
Sweden,Spring,1989,March,2.462,High
Sweden,Summer,1989,June,1.359,High
Sweden,Fall,1989,November,1.927,High
Sweden,Winter,1989,December,2.699,High
Switzerland,Winter,1989,February,2.724,High
Switzerland,Spring,1989,March,1.836,High
Uruguay,Summer,1989,June,1.463,High
Uruguay,Summer,1989,July,1.606,High
Yugoslav SFR,Winter,1989,February,2.753,High
Northern Europe,Winter,1989,February,2.643,High
Northern Europe,Spring,1989,March,1.93,High
Afghanistan,Winter,1990,February,2.597,High
Antarctica,Spring,1990,April,1.868,High
Antarctica,Summer,1990,June,1.929,High
Antarctica,Summer,1990,July,1.801,High
Antarctica,Summer,1990,August,2.216,High
Antarctica,Fall,1990,September,2.058,High
Argentina,Summer,1990,July,1.424,High
Austria,Winter,1990,February,2.924,High
Austria,Spring,1990,March,2.054,High
Belgium-Luxembourg,Winter,1990,February,2.905,High
Belgium-Luxembourg,Spring,1990,March,1.844,High
Belgium-Luxembourg,Summer,1990,July,1.397,High
Bulgaria,Winter,1990,February,2.776,High
Bulgaria,Summer,1990,August,1.343,High
Canada,Spring,1990,March,1.875,High
Czechoslovakia,Winter,1990,February,3.13,High
Czechoslovakia,Spring,1990,March,2.322,High
Denmark,Winter,1990,February,2.55,High
Denmark,Spring,1990,March,2.01,High
Finland,Winter,1990,January,3.335,High
Finland,Winter,1990,February,3.566,High
Finland,Spring,1990,March,2.892,High
Finland,Summer,1990,June,1.583,High
Finland,Summer,1990,July,1.38,High
Finland,Fall,1990,October,1.915,High
Finland,Fall,1990,November,2.28,High
Finland,Winter,1990,December,3.499,High
Germany,Winter,1990,February,2.957,High
Germany,Spring,1990,March,2.037,High
Greenland,Spring,1990,March,2.021,High
Hungary,Winter,1990,February,3.171,High
Hungary,Spring,1990,March,2.223,High
Iceland,Spring,1990,March,2.196,High
Liechtenstein,Winter,1990,February,2.814,High
Liechtenstein,Spring,1990,March,1.959,High
Mongolia,Winter,1990,February,3.021,High
Mongolia,Spring,1990,March,1.962,High
Mongolia,Fall,1990,November,2.235,High
Mongolia,Winter,1990,December,2.926,High
Netherlands,Winter,1990,February,2.75,High
Norway,Spring,1990,March,2.1,High
Norway,Summer,1990,June,1.468,High
Paraguay,Summer,1990,June,1.592,High
Paraguay,Summer,1990,July,2.058,High
Paraguay,Summer,1990,August,1.58,High
Poland,Winter,1990,January,2.587,High
Poland,Winter,1990,February,3.375,High
Poland,Spring,1990,March,2.815,High
Poland,Summer,1990,July,1.336,High
Romania,Winter,1990,February,3.065,High
Romania,Spring,1990,March,2.027,High
Romania,Fall,1990,November,1.88,High
South Georgia and the South Sandwich Islands,Summer,1990,August,1.56,High
Svalbard and Jan Mayen Islands,Winter,1990,January,4.373,High
Svalbard and Jan Mayen Islands,Winter,1990,February,3.639,High
Svalbard and Jan Mayen Islands,Spring,1990,March,3.906,High
Svalbard and Jan Mayen Islands,Spring,1990,April,2.492,High
Svalbard and Jan Mayen Islands,Fall,1990,October,2.636,High
Svalbard and Jan Mayen Islands,Fall,1990,November,3.946,High
Svalbard and Jan Mayen Islands,Winter,1990,December,4.189,High
Sweden,Winter,1990,January,2.681,High
Sweden,Winter,1990,February,3.178,High
Sweden,Spring,1990,March,2.462,High
Sweden,Summer,1990,June,1.359,High
Sweden,Fall,1990,November,1.927,High
Sweden,Winter,1990,December,2.699,High
Switzerland,Winter,1990,February,2.724,High
Switzerland,Spring,1990,March,1.836,High
Uruguay,Summer,1990,June,1.463,High
Uruguay,Summer,1990,July,1.606,High
Yugoslav SFR,Winter,1990,February,2.753,High
Northern Europe,Winter,1990,February,2.643,High
Northern Europe,Spring,1990,March,1.93,High
Afghanistan,Winter,1991,February,2.597,High
Antarctica,Spring,1991,April,1.868,High
Antarctica,Summer,1991,June,1.929,High
Antarctica,Summer,1991,July,1.801,High
Antarctica,Summer,1991,August,2.216,High
Antarctica,Fall,1991,September,2.058,High
Argentina,Summer,1991,July,1.424,High
Austria,Winter,1991,February,2.924,High
Austria,Spring,1991,March,2.054,High
Belgium-Luxembourg,Winter,1991,February,2.905,High
Belgium-Luxembourg,Spring,1991,March,1.844,High
Belgium-Luxembourg,Summer,1991,July,1.397,High
Bulgaria,Winter,1991,February,2.776,High
Bulgaria,Summer,1991,August,1.343,High
Canada,Spring,1991,March,1.875,High
Czechoslovakia,Winter,1991,February,3.13,High
Czechoslovakia,Spring,1991,March,2.322,High
Denmark,Winter,1991,February,2.55,High
Denmark,Spring,1991,March,2.01,High
Finland,Winter,1991,January,3.335,High
Finland,Winter,1991,February,3.566,High
Finland,Spring,1991,March,2.892,High
Finland,Summer,1991,June,1.583,High
Finland,Summer,1991,July,1.38,High
Finland,Fall,1991,October,1.915,High
Finland,Fall,1991,November,2.28,High
Finland,Winter,1991,December,3.499,High
Germany,Winter,1991,February,2.957,High
Germany,Spring,1991,March,2.037,High
Greenland,Spring,1991,March,2.021,High
Hungary,Winter,1991,February,3.171,High
Hungary,Spring,1991,March,2.223,High
Iceland,Spring,1991,March,2.196,High
Liechtenstein,Winter,1991,February,2.814,High
Liechtenstein,Spring,1991,March,1.959,High
Mongolia,Winter,1991,February,3.021,High
Mongolia,Spring,1991,March,1.962,High
Mongolia,Fall,1991,November,2.235,High
Mongolia,Winter,1991,December,2.926,High
Netherlands,Winter,1991,February,2.75,High
Norway,Spring,1991,March,2.1,High
Norway,Summer,1991,June,1.468,High
Paraguay,Summer,1991,June,1.592,High
Paraguay,Summer,1991,July,2.058,High
Paraguay,Summer,1991,August,1.58,High
Poland,Winter,1991,January,2.587,High
Poland,Winter,1991,February,3.375,High
Poland,Spring,1991,March,2.815,High
Poland,Summer,1991,July,1.336,High
Romania,Winter,1991,February,3.065,High
Romania,Spring,1991,March,2.027,High
Romania,Fall,1991,November,1.88,High
South Georgia and the South Sandwich Islands,Summer,1991,August,1.56,High
Svalbard and Jan Mayen Islands,Winter,1991,January,4.373,High
Svalbard and Jan Mayen Islands,Winter,1991,February,3.639,High
Svalbard and Jan Mayen Islands,Spring,1991,March,3.906,High
Svalbard and Jan Mayen Islands,Spring,1991,April,2.492,High
Svalbard and Jan Mayen Islands,Fall,1991,October,2.636,High
Svalbard and Jan Mayen Islands,Fall,1991,November,3.946,High
Svalbard and Jan Mayen Islands,Winter,1991,December,4.189,High
Sweden,Winter,1991,January,2.681,High
Sweden,Winter,1991,February,3.178,High
Sweden,Spring,1991,March,2.462,High
Sweden,Summer,1991,June,1.359,High
Sweden,Fall,1991,November,1.927,High
Sweden,Winter,1991,December,2.699,High
Switzerland,Winter,1991,February,2.724,High
Switzerland,Spring,1991,March,1.836,High
Uruguay,Summer,1991,June,1.463,High
Uruguay,Summer,1991,July,1.606,High
Yugoslav SFR,Winter,1991,February,2.753,High
Northern Europe,Winter,1991,February,2.643,High
Northern Europe,Spring,1991,March,1.93,High
Afghanistan,Winter,1992,February,2.597,High
Antarctica,Spring,1992,April,1.868,High
Antarctica,Summer,1992,June,1.929,High
Antarctica,Summer,1992,July,1.801,High
Antarctica,Summer,1992,August,2.216,High
Antarctica,Fall,1992,September,2.058,High
Argentina,Summer,1992,July,1.424,High
Austria,Winter,1992,February,2.924,High
Austria,Spring,1992,March,2.054,High
Belgium-Luxembourg,Winter,1992,February,2.905,High
Belgium-Luxembourg,Spring,1992,March,1.844,High
Belgium-Luxembourg,Summer,1992,July,1.397,High
Bulgaria,Winter,1992,February,2.776,High
Bulgaria,Summer,1992,August,1.343,High
Canada,Spring,1992,March,1.875,High
Czechoslovakia,Winter,1992,February,3.13,High
Czechoslovakia,Spring,1992,March,2.322,High
Denmark,Winter,1992,February,2.55,High
Denmark,Spring,1992,March,2.01,High
Finland,Winter,1992,January,3.335,High
Finland,Winter,1992,February,3.566,High
Finland,Spring,1992,March,2.892,High
Finland,Summer,1992,June,1.583,High
Finland,Summer,1992,July,1.38,High
Finland,Fall,1992,October,1.915,High
Finland,Fall,1992,November,2.28,High
Finland,Winter,1992,December,3.499,High
Germany,Winter,1992,February,2.957,High
Germany,Spring,1992,March,2.037,High
Greenland,Spring,1992,March,2.021,High
Hungary,Winter,1992,February,3.171,High
Hungary,Spring,1992,March,2.223,High
Iceland,Spring,1992,March,2.196,High
Liechtenstein,Winter,1992,February,2.814,High
Liechtenstein,Spring,1992,March,1.959,High
Mongolia,Winter,1992,February,3.021,High
Mongolia,Spring,1992,March,1.962,High
Mongolia,Fall,1992,November,2.235,High
Mongolia,Winter,1992,December,2.926,High
Netherlands,Winter,1992,February,2.75,High
Norway,Spring,1992,March,2.1,High
Norway,Summer,1992,June,1.468,High
Paraguay,Summer,1992,June,1.592,High
Paraguay,Summer,1992,July,2.058,High
Paraguay,Summer,1992,August,1.58,High
Poland,Winter,1992,January,2.587,High
Poland,Winter,1992,February,3.375,High
Poland,Spring,1992,March,2.815,High
Poland,Summer,1992,July,1.336,High
Romania,Winter,1992,February,3.065,High
Romania,Spring,1992,March,2.027,High
Romania,Fall,1992,November,1.88,High
South Georgia and the South Sandwich Islands,Summer,1992,August,1.56,High
Svalbard and Jan Mayen Islands,Winter,1992,January,4.373,High
Svalbard and Jan Mayen Islands,Winter,1992,February,3.639,High
Svalbard and Jan Mayen Islands,Spring,1992,March,3.906,High
Svalbard and Jan Mayen Islands,Spring,1992,April,2.492,High
Svalbard and Jan Mayen Islands,Fall,1992,October,2.636,High
Svalbard and Jan Mayen Islands,Fall,1992,November,3.946,High
Svalbard and Jan Mayen Islands,Winter,1992,December,4.189,High
Sweden,Winter,1992,January,2.681,High
Sweden,Winter,1992,February,3.178,High
Sweden,Spring,1992,March,2.462,High
Sweden,Summer,1992,June,1.359,High
Sweden,Fall,1992,November,1.927,High
Sweden,Winter,1992,December,2.699,High
Switzerland,Winter,1992,February,2.724,High
Switzerland,Spring,1992,March,1.836,High
Uruguay,Summer,1992,June,1.463,High
Uruguay,Summer,1992,July,1.606,High
Northern Europe,Winter,1992,February,2.643,High
Northern Europe,Spring,1992,March,1.93,High
Afghanistan,Winter,1993,February,2.597,High
Antarctica,Spring,1993,April,1.868,High
Antarctica,Summer,1993,June,1.929,High
Antarctica,Summer,1993,July,1.801,High
Antarctica,Summer,1993,August,2.216,High
Antarctica,Fall,1993,September,2.058,High
Argentina,Summer,1993,July,1.424,High
Austria,Winter,1993,February,2.924,High
Austria,Spring,1993,March,2.054,High
Belgium-Luxembourg,Winter,1993,February,2.905,High
Belgium-Luxembourg,Spring,1993,March,1.844,High
Belgium-Luxembourg,Summer,1993,July,1.397,High
Bulgaria,Winter,1993,February,2.776,High
Bulgaria,Summer,1993,August,1.343,High
Canada,Spring,1993,March,1.875,High
Denmark,Winter,1993,February,2.55,High
Denmark,Spring,1993,March,2.01,High
Finland,Winter,1993,January,3.335,High
Finland,Winter,1993,February,3.566,High
Finland,Spring,1993,March,2.892,High
Finland,Summer,1993,June,1.583,High
Finland,Summer,1993,July,1.38,High
Finland,Fall,1993,October,1.915,High
Finland,Fall,1993,November,2.28,High
Finland,Winter,1993,December,3.499,High
Germany,Winter,1993,February,2.957,High
Germany,Spring,1993,March,2.037,High
Greenland,Spring,1993,March,2.021,High
Hungary,Winter,1993,February,3.171,High
Hungary,Spring,1993,March,2.223,High
Iceland,Spring,1993,March,2.196,High
Liechtenstein,Winter,1993,February,2.814,High
Liechtenstein,Spring,1993,March,1.959,High
Mongolia,Winter,1993,February,3.021,High
Mongolia,Spring,1993,March,1.962,High
Mongolia,Fall,1993,November,2.235,High
Mongolia,Winter,1993,December,2.926,High
Netherlands,Winter,1993,February,2.75,High
Norway,Spring,1993,March,2.1,High
Norway,Summer,1993,June,1.468,High
Paraguay,Summer,1993,June,1.592,High
Paraguay,Summer,1993,July,2.058,High
Paraguay,Summer,1993,August,1.58,High
Poland,Winter,1993,January,2.587,High
Poland,Winter,1993,February,3.375,High
Poland,Spring,1993,March,2.815,High
Poland,Summer,1993,July,1.336,High
Romania,Winter,1993,February,3.065,High
Romania,Spring,1993,March,2.027,High
Romania,Fall,1993,November,1.88,High
South Georgia and the South Sandwich Islands,Summer,1993,August,1.56,High
Svalbard and Jan Mayen Islands,Winter,1993,January,4.373,High
Svalbard and Jan Mayen Islands,Winter,1993,February,3.639,High
Svalbard and Jan Mayen Islands,Spring,1993,March,3.906,High
Svalbard and Jan Mayen Islands,Spring,1993,April,2.492,High
Svalbard and Jan Mayen Islands,Fall,1993,October,2.636,High
Svalbard and Jan Mayen Islands,Fall,1993,November,3.946,High
Svalbard and Jan Mayen Islands,Winter,1993,December,4.189,High
Sweden,Winter,1993,January,2.681,High
Sweden,Winter,1993,February,3.178,High
Sweden,Spring,1993,March,2.462,High
Sweden,Summer,1993,June,1.359,High
Sweden,Fall,1993,November,1.927,High
Sweden,Winter,1993,December,2.699,High
Switzerland,Winter,1993,February,2.724,High
Switzerland,Spring,1993,March,1.836,High
Uruguay,Summer,1993,June,1.463,High
Uruguay,Summer,1993,July,1.606,High
Northern Europe,Winter,1993,February,2.643,High
Northern Europe,Spring,1993,March,1.93,High
Afghanistan,Winter,1994,February,2.597,High
Antarctica,Spring,1994,April,1.868,High
Antarctica,Summer,1994,June,1.929,High
Antarctica,Summer,1994,July,1.801,High
Antarctica,Summer,1994,August,2.216,High
Antarctica,Fall,1994,September,2.058,High
Argentina,Summer,1994,July,1.424,High
Austria,Winter,1994,February,2.924,High
Austria,Spring,1994,March,2.054,High
Belgium-Luxembourg,Winter,1994,February,2.905,High
Belgium-Luxembourg,Spring,1994,March,1.844,High
Belgium-Luxembourg,Summer,1994,July,1.397,High
Bulgaria,Winter,1994,February,2.776,High
Bulgaria,Summer,1994,August,1.343,High
Canada,Spring,1994,March,1.875,High
Denmark,Winter,1994,February,2.55,High
Denmark,Spring,1994,March,2.01,High
Finland,Winter,1994,January,3.335,High
Finland,Winter,1994,February,3.566,High
Finland,Spring,1994,March,2.892,High
Finland,Summer,1994,June,1.583,High
Finland,Summer,1994,July,1.38,High
Finland,Fall,1994,October,1.915,High
Finland,Fall,1994,November,2.28,High
Finland,Winter,1994,December,3.499,High
Germany,Winter,1994,February,2.957,High
Germany,Spring,1994,March,2.037,High
Greenland,Spring,1994,March,2.021,High
Hungary,Winter,1994,February,3.171,High
Hungary,Spring,1994,March,2.223,High
Iceland,Spring,1994,March,2.196,High
Liechtenstein,Winter,1994,February,2.814,High
Liechtenstein,Spring,1994,March,1.959,High
Mongolia,Winter,1994,February,3.021,High
Mongolia,Spring,1994,March,1.962,High
Mongolia,Fall,1994,November,2.235,High
Mongolia,Winter,1994,December,2.926,High
Netherlands,Winter,1994,February,2.75,High
Norway,Spring,1994,March,2.1,High
Norway,Summer,1994,June,1.468,High
Paraguay,Summer,1994,June,1.592,High
Paraguay,Summer,1994,July,2.058,High
Paraguay,Summer,1994,August,1.58,High
Poland,Winter,1994,January,2.587,High
Poland,Winter,1994,February,3.375,High
Poland,Spring,1994,March,2.815,High
Poland,Summer,1994,July,1.336,High
Romania,Winter,1994,February,3.065,High
Romania,Spring,1994,March,2.027,High
Romania,Fall,1994,November,1.88,High
South Georgia and the South Sandwich Islands,Summer,1994,August,1.56,High
Svalbard and Jan Mayen Islands,Winter,1994,January,4.373,High
Svalbard and Jan Mayen Islands,Winter,1994,February,3.639,High
Svalbard and Jan Mayen Islands,Spring,1994,March,3.906,High
Svalbard and Jan Mayen Islands,Spring,1994,April,2.492,High
Svalbard and Jan Mayen Islands,Fall,1994,October,2.636,High
Svalbard and Jan Mayen Islands,Fall,1994,November,3.946,High
Svalbard and Jan Mayen Islands,Winter,1994,December,4.189,High
Sweden,Winter,1994,January,2.681,High
Sweden,Winter,1994,February,3.178,High
Sweden,Spring,1994,March,2.462,High
Sweden,Summer,1994,June,1.359,High
Sweden,Fall,1994,November,1.927,High
Sweden,Winter,1994,December,2.699,High
Switzerland,Winter,1994,February,2.724,High
Switzerland,Spring,1994,March,1.836,High
Uruguay,Summer,1994,June,1.463,High
Uruguay,Summer,1994,July,1.606,High
Northern Europe,Winter,1994,February,2.643,High
Northern Europe,Spring,1994,March,1.93,High
Afghanistan,Winter,1995,February,2.597,High
Antarctica,Spring,1995,April,1.868,High
Antarctica,Summer,1995,June,1.929,High
Antarctica,Summer,1995,July,1.801,High
Antarctica,Summer,1995,August,2.216,High
Antarctica,Fall,1995,September,2.058,High
Argentina,Summer,1995,July,1.424,High
Austria,Winter,1995,February,2.924,High
Austria,Spring,1995,March,2.054,High
Belgium-Luxembourg,Winter,1995,February,2.905,High
Belgium-Luxembourg,Spring,1995,March,1.844,High
Belgium-Luxembourg,Summer,1995,July,1.397,High
Bulgaria,Winter,1995,February,2.776,High
Bulgaria,Summer,1995,August,1.343,High
Canada,Spring,1995,March,1.875,High
Denmark,Winter,1995,February,2.55,High
Denmark,Spring,1995,March,2.01,High
Finland,Winter,1995,January,3.335,High
Finland,Winter,1995,February,3.566,High
Finland,Spring,1995,March,2.892,High
Finland,Summer,1995,June,1.583,High
Finland,Summer,1995,July,1.38,High
Finland,Fall,1995,October,1.915,High
Finland,Fall,1995,November,2.28,High
Finland,Winter,1995,December,3.499,High
Germany,Winter,1995,February,2.957,High
Germany,Spring,1995,March,2.037,High
Greenland,Spring,1995,March,2.021,High
Hungary,Winter,1995,February,3.171,High
Hungary,Spring,1995,March,2.223,High
Iceland,Spring,1995,March,2.196,High
Liechtenstein,Winter,1995,February,2.814,High
Liechtenstein,Spring,1995,March,1.959,High
Mongolia,Winter,1995,February,3.021,High
Mongolia,Spring,1995,March,1.962,High
Mongolia,Fall,1995,November,2.235,High
Mongolia,Winter,1995,December,2.926,High
Netherlands,Winter,1995,February,2.75,High
Norway,Spring,1995,March,2.1,High
Norway,Summer,1995,June,1.468,High
Paraguay,Summer,1995,June,1.592,High
Paraguay,Summer,1995,July,2.058,High
Paraguay,Summer,1995,August,1.58,High
Poland,Winter,1995,January,2.587,High
Poland,Winter,1995,February,3.375,High
Poland,Spring,1995,March,2.815,High
Poland,Summer,1995,July,1.336,High
Romania,Winter,1995,February,3.065,High
Romania,Spring,1995,March,2.027,High
Romania,Fall,1995,November,1.88,High
South Georgia and the South Sandwich Islands,Summer,1995,August,1.56,High
Svalbard and Jan Mayen Islands,Winter,1995,January,4.373,High
Svalbard and Jan Mayen Islands,Winter,1995,February,3.639,High
Svalbard and Jan Mayen Islands,Spring,1995,March,3.906,High
Svalbard and Jan Mayen Islands,Spring,1995,April,2.492,High
Svalbard and Jan Mayen Islands,Fall,1995,October,2.636,High
Svalbard and Jan Mayen Islands,Fall,1995,November,3.946,High
Svalbard and Jan Mayen Islands,Winter,1995,December,4.189,High
Sweden,Winter,1995,January,2.681,High
Sweden,Winter,1995,February,3.178,High
Sweden,Spring,1995,March,2.462,High
Sweden,Summer,1995,June,1.359,High
Sweden,Fall,1995,November,1.927,High
Sweden,Winter,1995,December,2.699,High
Switzerland,Winter,1995,February,2.724,High
Switzerland,Spring,1995,March,1.836,High
Uruguay,Summer,1995,June,1.463,High
Uruguay,Summer,1995,July,1.606,High
Northern Europe,Winter,1995,February,2.643,High
Northern Europe,Spring,1995,March,1.93,High
Afghanistan,Winter,1996,February,2.597,High
Antarctica,Spring,1996,April,1.868,High
Antarctica,Summer,1996,June,1.929,High
Antarctica,Summer,1996,July,1.801,High
Antarctica,Summer,1996,August,2.216,High
